candidate_id,patent_id,patent_title,stakeholder_id,stakeholder_name,situation_id,situation_name,context_id,context_name
OTB094-A-S3-C4,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,A,農業・林業,C4,継続・適応
OTB094-A-S3-C5,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,A,農業・林業,C5,関係・共創
OTB094-A-S3-C6,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,A,農業・林業,C6,社会・資源・継承
OTB094-A-S4-C1,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,A,農業・林業,C1,証拠・信頼
OTB094-A-S4-C2,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,A,農業・林業,C2,可視化・判断
OTB094-A-S4-C3,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,A,農業・林業,C3,人・能力
OTB094-A-S4-C4,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,A,農業・林業,C4,継続・適応
OTB094-A-S4-C5,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,A,農業・林業,C5,関係・共創
OTB094-A-S4-C6,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,A,農業・林業,C6,社会・資源・継承
OTB094-A-S5-C1,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,A,農業・林業,C1,証拠・信頼
OTB094-A-S5-C2,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,A,農業・林業,C2,可視化・判断
OTB094-A-S5-C3,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,A,農業・林業,C3,人・能力
OTB094-A-S5-C4,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,A,農業・林業,C4,継続・適応
OTB094-A-S5-C5,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,A,農業・林業,C5,関係・共創
OTB094-A-S5-C6,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,A,農業・林業,C6,社会・資源・継承
OTB094-B-S1-C1,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,B,漁業,C1,証拠・信頼
OTB094-B-S1-C2,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,B,漁業,C2,可視化・判断
OTB094-B-S1-C3,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,B,漁業,C3,人・能力
OTB094-B-S1-C4,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,B,漁業,C4,継続・適応
OTB094-B-S1-C5,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,B,漁業,C5,関係・共創
OTB094-B-S1-C6,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,B,漁業,C6,社会・資源・継承
OTB094-B-S2-C1,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,B,漁業,C1,証拠・信頼
OTB094-B-S2-C2,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,B,漁業,C2,可視化・判断
OTB094-B-S2-C3,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,B,漁業,C3,人・能力
OTB094-B-S2-C4,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,B,漁業,C4,継続・適応
OTB094-B-S2-C5,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,B,漁業,C5,関係・共創
OTB094-B-S2-C6,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,B,漁業,C6,社会・資源・継承
OTB094-B-S3-C1,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,B,漁業,C1,証拠・信頼
OTB094-B-S3-C2,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,B,漁業,C2,可視化・判断
OTB094-B-S3-C3,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,B,漁業,C3,人・能力
OTB094-B-S3-C4,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,B,漁業,C4,継続・適応
OTB094-B-S3-C5,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,B,漁業,C5,関係・共創
OTB094-B-S3-C6,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,B,漁業,C6,社会・資源・継承
OTB094-B-S4-C1,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,B,漁業,C1,証拠・信頼
OTB094-B-S4-C2,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,B,漁業,C2,可視化・判断
OTB094-B-S4-C3,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,B,漁業,C3,人・能力
OTB094-B-S4-C4,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,B,漁業,C4,継続・適応
OTB094-B-S4-C5,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,B,漁業,C5,関係・共創
OTB094-B-S4-C6,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,B,漁業,C6,社会・資源・継承
OTB094-B-S5-C1,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,B,漁業,C1,証拠・信頼
OTB094-B-S5-C2,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,B,漁業,C2,可視化・判断
OTB094-B-S5-C3,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,B,漁業,C3,人・能力
OTB094-B-S5-C4,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,B,漁業,C4,継続・適応
OTB094-B-S5-C5,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,B,漁業,C5,関係・共創
OTB094-B-S5-C6,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,B,漁業,C6,社会・資源・継承
OTB094-C-S1-C1,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,C,鉱業・採石業・砂利採取業,C1,証拠・信頼
OTB094-C-S1-C2,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,C,鉱業・採石業・砂利採取業,C2,可視化・判断
OTB094-C-S1-C3,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,C,鉱業・採石業・砂利採取業,C3,人・能力
OTB094-C-S1-C4,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,C,鉱業・採石業・砂利採取業,C4,継続・適応
OTB094-C-S1-C5,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,C,鉱業・採石業・砂利採取業,C5,関係・共創
OTB094-C-S1-C6,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,C,鉱業・採石業・砂利採取業,C6,社会・資源・継承
OTB094-C-S2-C1,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,C,鉱業・採石業・砂利採取業,C1,証拠・信頼
OTB094-C-S2-C2,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,C,鉱業・採石業・砂利採取業,C2,可視化・判断
OTB094-C-S2-C3,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,C,鉱業・採石業・砂利採取業,C3,人・能力
OTB094-C-S2-C4,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,C,鉱業・採石業・砂利採取業,C4,継続・適応
OTB094-C-S2-C5,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,C,鉱業・採石業・砂利採取業,C5,関係・共創
OTB094-C-S2-C6,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,C,鉱業・採石業・砂利採取業,C6,社会・資源・継承
OTB094-C-S3-C1,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,C,鉱業・採石業・砂利採取業,C1,証拠・信頼
OTB094-C-S3-C2,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,C,鉱業・採石業・砂利採取業,C2,可視化・判断
OTB094-C-S3-C3,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,C,鉱業・採石業・砂利採取業,C3,人・能力
OTB094-C-S3-C4,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,C,鉱業・採石業・砂利採取業,C4,継続・適応
OTB094-C-S3-C5,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,C,鉱業・採石業・砂利採取業,C5,関係・共創
OTB094-C-S3-C6,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,C,鉱業・採石業・砂利採取業,C6,社会・資源・継承
OTB094-C-S4-C1,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,C,鉱業・採石業・砂利採取業,C1,証拠・信頼
OTB094-C-S4-C2,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,C,鉱業・採石業・砂利採取業,C2,可視化・判断
OTB094-C-S4-C3,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,C,鉱業・採石業・砂利採取業,C3,人・能力
OTB094-C-S4-C4,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,C,鉱業・採石業・砂利採取業,C4,継続・適応
OTB094-C-S4-C5,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,C,鉱業・採石業・砂利採取業,C5,関係・共創
OTB094-C-S4-C6,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,C,鉱業・採石業・砂利採取業,C6,社会・資源・継承
OTB094-C-S5-C1,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,C,鉱業・採石業・砂利採取業,C1,証拠・信頼
OTB094-C-S5-C2,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,C,鉱業・採石業・砂利採取業,C2,可視化・判断
OTB094-C-S5-C3,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,C,鉱業・採石業・砂利採取業,C3,人・能力
OTB094-C-S5-C4,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,C,鉱業・採石業・砂利採取業,C4,継続・適応
OTB094-C-S5-C5,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,C,鉱業・採石業・砂利採取業,C5,関係・共創
OTB094-C-S5-C6,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,C,鉱業・採石業・砂利採取業,C6,社会・資源・継承
OTB094-D-S1-C1,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,D,建設業,C1,証拠・信頼
OTB094-D-S1-C2,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,D,建設業,C2,可視化・判断
OTB094-D-S1-C3,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,D,建設業,C3,人・能力
OTB094-D-S1-C4,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,D,建設業,C4,継続・適応
OTB094-D-S1-C5,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,D,建設業,C5,関係・共創
OTB094-D-S1-C6,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,D,建設業,C6,社会・資源・継承
OTB094-D-S2-C1,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,D,建設業,C1,証拠・信頼
OTB094-D-S2-C2,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,D,建設業,C2,可視化・判断
OTB094-D-S2-C3,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,D,建設業,C3,人・能力
OTB094-D-S2-C4,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,D,建設業,C4,継続・適応
OTB094-D-S2-C5,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,D,建設業,C5,関係・共創
OTB094-D-S2-C6,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,D,建設業,C6,社会・資源・継承
OTB094-D-S3-C1,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,D,建設業,C1,証拠・信頼
OTB094-D-S3-C2,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,D,建設業,C2,可視化・判断
OTB094-D-S3-C3,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,D,建設業,C3,人・能力
OTB094-D-S3-C4,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,D,建設業,C4,継続・適応
OTB094-D-S3-C5,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,D,建設業,C5,関係・共創
OTB094-D-S3-C6,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,D,建設業,C6,社会・資源・継承
OTB094-D-S4-C1,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,D,建設業,C1,証拠・信頼
OTB094-D-S4-C2,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,D,建設業,C2,可視化・判断
OTB094-D-S4-C3,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,D,建設業,C3,人・能力
OTB094-D-S4-C4,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,D,建設業,C4,継続・適応
OTB094-D-S4-C5,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,D,建設業,C5,関係・共創
OTB094-D-S4-C6,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,D,建設業,C6,社会・資源・継承
OTB094-D-S5-C1,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,D,建設業,C1,証拠・信頼
OTB094-D-S5-C2,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,D,建設業,C2,可視化・判断
OTB094-D-S5-C3,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,D,建設業,C3,人・能力
OTB094-D-S5-C4,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,D,建設業,C4,継続・適応
OTB094-D-S5-C5,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,D,建設業,C5,関係・共創
OTB094-D-S5-C6,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,D,建設業,C6,社会・資源・継承
OTB094-E-S1-C1,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,E,製造業,C1,証拠・信頼
OTB094-E-S1-C2,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,E,製造業,C2,可視化・判断
OTB094-E-S1-C3,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,E,製造業,C3,人・能力
OTB094-E-S1-C4,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,E,製造業,C4,継続・適応
OTB094-E-S1-C5,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,E,製造業,C5,関係・共創
OTB094-E-S1-C6,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,E,製造業,C6,社会・資源・継承
OTB094-E-S2-C1,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,E,製造業,C1,証拠・信頼
OTB094-E-S2-C2,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,E,製造業,C2,可視化・判断
OTB094-E-S2-C3,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,E,製造業,C3,人・能力
OTB094-E-S2-C4,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,E,製造業,C4,継続・適応
OTB094-E-S2-C5,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,E,製造業,C5,関係・共創
OTB094-E-S2-C6,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,E,製造業,C6,社会・資源・継承
OTB094-E-S3-C1,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,E,製造業,C1,証拠・信頼
OTB094-E-S3-C2,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,E,製造業,C2,可視化・判断
OTB094-E-S3-C3,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,E,製造業,C3,人・能力
OTB094-E-S3-C4,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,E,製造業,C4,継続・適応
OTB094-E-S3-C5,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,E,製造業,C5,関係・共創
OTB094-E-S3-C6,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,E,製造業,C6,社会・資源・継承
OTB094-E-S4-C1,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,E,製造業,C1,証拠・信頼
OTB094-E-S4-C2,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,E,製造業,C2,可視化・判断
OTB094-E-S4-C3,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,E,製造業,C3,人・能力
OTB094-E-S4-C4,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,E,製造業,C4,継続・適応
OTB094-E-S4-C5,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,E,製造業,C5,関係・共創
OTB094-E-S4-C6,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,E,製造業,C6,社会・資源・継承
OTB094-E-S5-C1,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,E,製造業,C1,証拠・信頼
OTB094-E-S5-C2,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,E,製造業,C2,可視化・判断
OTB094-E-S5-C3,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,E,製造業,C3,人・能力
OTB094-E-S5-C4,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,E,製造業,C4,継続・適応
OTB094-E-S5-C5,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,E,製造業,C5,関係・共創
OTB094-E-S5-C6,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,E,製造業,C6,社会・資源・継承
OTB094-F-S1-C1,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,F,電気・ガス・熱供給・水道業,C1,証拠・信頼
OTB094-F-S1-C2,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,F,電気・ガス・熱供給・水道業,C2,可視化・判断
OTB094-F-S1-C3,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,F,電気・ガス・熱供給・水道業,C3,人・能力
OTB094-F-S1-C4,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,F,電気・ガス・熱供給・水道業,C4,継続・適応
OTB094-F-S1-C5,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,F,電気・ガス・熱供給・水道業,C5,関係・共創
OTB094-F-S1-C6,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,F,電気・ガス・熱供給・水道業,C6,社会・資源・継承
OTB094-F-S2-C1,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,F,電気・ガス・熱供給・水道業,C1,証拠・信頼
OTB094-F-S2-C2,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,F,電気・ガス・熱供給・水道業,C2,可視化・判断
OTB094-F-S2-C3,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,F,電気・ガス・熱供給・水道業,C3,人・能力
OTB094-F-S2-C4,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,F,電気・ガス・熱供給・水道業,C4,継続・適応
OTB094-F-S2-C5,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,F,電気・ガス・熱供給・水道業,C5,関係・共創
OTB094-F-S2-C6,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,F,電気・ガス・熱供給・水道業,C6,社会・資源・継承
OTB094-F-S3-C1,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,F,電気・ガス・熱供給・水道業,C1,証拠・信頼
OTB094-F-S3-C2,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,F,電気・ガス・熱供給・水道業,C2,可視化・判断
OTB094-F-S3-C3,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,F,電気・ガス・熱供給・水道業,C3,人・能力
OTB094-F-S3-C4,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,F,電気・ガス・熱供給・水道業,C4,継続・適応
OTB094-F-S3-C5,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,F,電気・ガス・熱供給・水道業,C5,関係・共創
OTB094-F-S3-C6,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,F,電気・ガス・熱供給・水道業,C6,社会・資源・継承
OTB094-F-S4-C1,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,F,電気・ガス・熱供給・水道業,C1,証拠・信頼
OTB094-F-S4-C2,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,F,電気・ガス・熱供給・水道業,C2,可視化・判断
OTB094-F-S4-C3,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,F,電気・ガス・熱供給・水道業,C3,人・能力
OTB094-F-S4-C4,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,F,電気・ガス・熱供給・水道業,C4,継続・適応
OTB094-F-S4-C5,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,F,電気・ガス・熱供給・水道業,C5,関係・共創
OTB094-F-S4-C6,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,F,電気・ガス・熱供給・水道業,C6,社会・資源・継承
OTB094-F-S5-C1,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,F,電気・ガス・熱供給・水道業,C1,証拠・信頼
OTB094-F-S5-C2,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,F,電気・ガス・熱供給・水道業,C2,可視化・判断
OTB094-F-S5-C3,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,F,電気・ガス・熱供給・水道業,C3,人・能力
OTB094-F-S5-C4,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,F,電気・ガス・熱供給・水道業,C4,継続・適応
OTB094-F-S5-C5,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,F,電気・ガス・熱供給・水道業,C5,関係・共創
OTB094-F-S5-C6,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,F,電気・ガス・熱供給・水道業,C6,社会・資源・継承
OTB094-G-S1-C1,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,G,情報通信業,C1,証拠・信頼
OTB094-G-S1-C2,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,G,情報通信業,C2,可視化・判断
OTB094-G-S1-C3,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,G,情報通信業,C3,人・能力
OTB094-G-S1-C4,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,G,情報通信業,C4,継続・適応
OTB094-G-S1-C5,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,G,情報通信業,C5,関係・共創
OTB094-G-S1-C6,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,G,情報通信業,C6,社会・資源・継承
OTB094-G-S2-C1,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,G,情報通信業,C1,証拠・信頼
OTB094-G-S2-C2,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,G,情報通信業,C2,可視化・判断
OTB094-G-S2-C3,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,G,情報通信業,C3,人・能力
OTB094-G-S2-C4,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,G,情報通信業,C4,継続・適応
OTB094-G-S2-C5,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,G,情報通信業,C5,関係・共創
OTB094-G-S2-C6,OTB094,電磁指紋による真贋判定,S2,導入・評価・意思決定主体,G,情報通信業,C6,社会・資源・継承
OTB094-G-S3-C1,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,G,情報通信業,C1,証拠・信頼
OTB094-G-S3-C2,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,G,情報通信業,C2,可視化・判断
OTB094-G-S3-C3,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,G,情報通信業,C3,人・能力
OTB094-G-S3-C4,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,G,情報通信業,C4,継続・適応
OTB094-G-S3-C5,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,G,情報通信業,C5,関係・共創
OTB094-G-S3-C6,OTB094,電磁指紋による真贋判定,S3,現場運用・維持主体,G,情報通信業,C6,社会・資源・継承
OTB094-G-S4-C1,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,G,情報通信業,C1,証拠・信頼
OTB094-G-S4-C2,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,G,情報通信業,C2,可視化・判断
OTB094-G-S4-C3,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,G,情報通信業,C3,人・能力
OTB094-G-S4-C4,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,G,情報通信業,C4,継続・適応
OTB094-G-S4-C5,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,G,情報通信業,C5,関係・共創
OTB094-G-S4-C6,OTB094,電磁指紋による真贋判定,S4,顧客・価値受領主体,G,情報通信業,C6,社会・資源・継承
OTB094-G-S5-C1,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,G,情報通信業,C1,証拠・信頼
OTB094-G-S5-C2,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,G,情報通信業,C2,可視化・判断
OTB094-G-S5-C3,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,G,情報通信業,C3,人・能力
OTB094-G-S5-C4,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,G,情報通信業,C4,継続・適応
OTB094-G-S5-C5,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,G,情報通信業,C5,関係・共創
OTB094-G-S5-C6,OTB094,電磁指紋による真贋判定,S5,制度・社会影響主体,G,情報通信業,C6,社会・資源・継承
OTB094-H-S1-C1,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,H,運輸業・郵便業,C1,証拠・信頼
OTB094-H-S1-C2,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,H,運輸業・郵便業,C2,可視化・判断
OTB094-H-S1-C3,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,H,運輸業・郵便業,C3,人・能力
OTB094-H-S1-C4,OTB094,電磁指紋による真贋判定,S1,技術提供・事業化主体,H,運輸業・郵便業,C4,継続・適応
